CustomerID,Age,Gender,Category,ItemPurchased,Amount,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases
C-5001,58,Female,Accessories,Handbag,115.5,Autumn,Card,3.5,18,4
C-5002,40,Male,Mens Clothing,Shirt,103.43,Spring,Card,4.1,13,4
C-5003,66,Female,Sports,Football,35.45,Spring,Card,3.3,11,3
C-5004,39,Female,Accessories,Handbag,153.31,Spring,Card,4.4,13,4
C-5005,23,Female,Home,Curtains,151.43,Winter,Card,4.1,20,10
C-5006,48,Male,Groceries,Snacks,36.76,Autumn,Card,2.5,14,2
C-5007,54,Male,Electronics,Mobile Phone,1396.16,Autumn,Card,4.7,18,4
C-5008,59,Female,Beauty,Perfume,35.55,Summer,Card,4.6,14,7
C-5009,51,Male,Electronics,Smart Watch,2238.79,Spring,Card,4.3,20,5
C-5010,47,Female,Footwear,Formal Shoes,225.49,Spring,Card,4.7,18,4
C-5011,32,Male,Mens Clothing,T-Shirt,120.8,Spring,Card,3.2,8,4
C-5012,31,Female,Accessories,Handbag,43.69,Summer,Card,3.6,8,4
C-5013,21,Male,Sports,Yoga Mat,79.46,Winter,Cash on Delivery,3.8,16,8
C-5014,22,Female,Footwear,Sandals,189.34,Summer,Card,2.9,10,5
C-5015,47,Male,Sports,Dumbbells,222.4,Winter,Card,3.9,12,6
C-5016,60,Male,Sports,Dumbbells,217.67,Spring,Card,4.6,27,11
C-5017,54,Female,Footwear,Sneakers,43.8,Spring,Cash on Delivery,2.9,20,5
C-5018,57,Female,Womens Clothing,Jeans,137.29,Autumn,Card,3.4,22,6
C-5019,68,Female,Home,Lamp,105.48,Autumn,Card,4.5,14,7
C-5020,22,Female,Womens Clothing,Skirt,173.52,Summer,Card,3.6,18,4
C-5021,61,Female,Footwear,Sneakers,68.69,Autumn,Card,4.9,22,6
C-5022,65,Female,Sports,Dumbbells,31.21,Spring,Cash on Delivery,3.8,14,7
C-5023,25,Male,Sports,Football,142.5,Autumn,Card,5,13,4
C-5024,35,Male,Mens Clothing,Jeans,36.98,Summer,Card,4.2,13,4
C-5025,28,Female,Womens Clothing,Top,56.59,Winter,Card,4.1,26,8
C-5026,41,Male,Sports,Football,46.19,Winter,Cash on Delivery,3.3,11,3
C-5027,58,Female,Home,Lamp,137.6,Autumn,Card,3.7,11,3
C-5028,24,Male,Sports,Yoga Mat,30.97,Autumn,Card,4.4,20,10
C-5029,50,Female,Sports,Yoga Mat,178.68,Spring,Card,3.7,11,3
C-5030,69,Male,Sports,Football,205.78,Autumn,Card,2.7,22,6
C-5031,43,Male,Electronics,Smart Watch,1572.49,Autumn,Card,3.5,14,7
C-5032,33,Male,Footwear,Formal Shoes,172.69,Spring,Card,4.6,19,7
C-5033,58,Female,Beauty,Perfume,135.4,Spring,Card,3.7,9,2
C-5034,26,Female,Womens Clothing,Dress,169.72,Autumn,Card,3.8,14,2
C-5035,67,Male,Sports,Football,238.13,Winter,Card,3.3,17,6
C-5036,32,Female,Womens Clothing,Jeans,50.2,Winter,Cash on Delivery,2.4,12,6
C-5037,25,Female,Groceries,Rice Pack,29.2,Summer,Cash on Delivery,5,8,4
C-5038,50,Male,Mens Clothing,Jacket,183.2,Autumn,Card,3.9,8,4
C-5039,47,Female,Womens Clothing,Jeans,129.22,Winter,Card,3.7,14,7
C-5040,66,Male,Sports,Yoga Mat,219.86,Spring,Card,4,2,1
C-5041,20,Female,Beauty,Perfume,97.24,Spring,Card,4.1,19,7
C-5042,22,Male,Electronics,Laptop,2392.7,Winter,Card,5,6,3
C-5043,23,Female,Footwear,Formal Shoes,115.21,Summer,Card,4.2,19,7
C-5044,66,Male,Electronics,Mobile Phone,2260.2,Spring,Card,4.6,9,2
C-5045,53,Female,Accessories,Sunglasses,164.67,Autumn,Card,2.6,14,7
C-5046,24,Female,Womens Clothing,Dress,65.55,Autumn,Card,3.7,14,7
C-5047,22,Male,Mens Clothing,Shirt,62.69,Winter,Card,3.6,4,2
C-5048,31,Female,Beauty,Makeup Set,62.91,Autumn,Card,3.5,18,4
C-5049,36,Female,Footwear,Sneakers,165.43,Summer,Card,4.6,24,7
C-5050,42,Female,Footwear,Sneakers,222.12,Winter,Card,3.2,18,4
C-5051,36,Male,Home,Lamp,270.44,Winter,Card,2.3,12,6
C-5052,25,Female,Womens Clothing,Skirt,90.54,Autumn,Cash on Delivery,4.6,18,4
C-5053,49,Male,Home,Kitchen Set,45.03,Summer,Cash on Delivery,3.9,4,2
C-5054,25,Female,Footwear,Formal Shoes,180.42,Autumn,Card,3.9,22,6
C-5055,52,Female,Accessories,Handbag,117.7,Winter,Card,3.1,8,4
C-5056,42,Female,Beauty,Makeup Set,31.42,Summer,Card,2,2,1
C-5057,43,Female,Womens Clothing,Skirt,188.02,Autumn,Card,4.2,17,6
C-5058,49,Male,Groceries,Snacks,54.89,Summer,Card,4.4,19,7
C-5059,34,Male,Electronics,Headphones,1459.73,Spring,Card,4,24,7
C-5060,58,Male,Mens Clothing,Shirt,82.99,Spring,Cash on Delivery,4.4,9,2
C-5061,24,Male,Mens Clothing,Jeans,121.2,Summer,Card,4.3,12,6
C-5062,55,Female,Accessories,Handbag,152.29,Winter,Card,4.7,15,5
C-5063,59,Female,Groceries,Snacks,59.46,Winter,Cash on Delivery,4,18,4
C-5064,70,Male,Groceries,Cooking Oil,73.3,Winter,Card,2.9,9,2
C-5065,20,Male,Footwear,Sandals,123.79,Spring,Card,3.5,6,3
C-5066,30,Female,Womens Clothing,Skirt,155.38,Summer,Card,3,6,3
C-5067,25,Male,Electronics,Laptop,1951.47,Autumn,Card,3.8,14,2
C-5068,41,Female,Footwear,Sneakers,102.92,Spring,Card,4,12,6
C-5069,35,Female,Beauty,Makeup Set,112.83,Spring,Card,3.8,10,5
C-5070,29,Male,Sports,Football,30.71,Autumn,Card,3.7,16,3
C-5071,42,Male,Sports,Yoga Mat,101.34,Spring,Card,3,32,11
C-5072,20,Male,Footwear,Formal Shoes,213.27,Winter,Card,5,11,3
